credit_amount,Country,gender,Age,Balance,annual_income,churn
712,France,Female,29,0,144375,0
539,Germany,Female,43,116220.5,55803.96,1
668,France,Female,46,0,89048.46,1
703,France,Male,28,81173.83,162812.16,0
662,Spain,Male,38,0,136259.65,0
725,Germany,Female,39,116803.8,124052.97,0
703,France,Male,37,105961.68,74158.8,0
659,Germany,Male,67,117411.6,45071.09,1
523,Spain,Male,34,0,62030.06,0
635,France,Female,40,123497.58,131953.23,1
772,Germany,Male,26,152400.51,79414,0
545,France,Female,26,0,199638.56,0
634,Germany,Male,24,103097.85,157577.29,0
739,Germany,Male,54,126418.14,134420.75,1
771,Germany,Female,36,77846.9,99805.99,0
587,Spain,Female,34,0,97932.68,0
681,France,Female,79,0,170968.99,0
544,Germany,Male,37,79731.91,57558.95,0
696,Spain,Male,28,0,176713.47,0
766,Spain,Male,41,0,34283.23,0
727,France,Male,34,0,198637.34,0
671,Germany,Female,34,37266.67,156917.12,0
693,France,Female,30,127992.25,50457.2,0
850,Germany,Male,38,54901.01,140075.55,0
732,Germany,Male,42,108748.08,65323.11,0
726,Spain,Female,48,99906.19,64323.24,0
557,France,Female,32,184686.41,14956.44,0
682,France,Female,26,110654.02,111879.21,0
738,Spain,Male,31,79019.8,18606.23,0
531,Spain,Female,36,99240.51,123137.01,0
498,France,Male,34,0,148528.24,0
651,France,Male,36,0,13898.31,0
549,Spain,Female,39,0,81259.25,1
791,Germany,Female,35,52436.2,161051.75,0
650,Spain,Male,41,0,191599.67,0
733,Germany,Male,34,100337.96,48559.19,1
811,Germany,Female,34,149297.19,186339.74,0
707,France,Male,30,0,33159.37,0
712,Germany,Male,28,145605.44,93883.53,0
706,Spain,Female,37,0,110899.3,0
756,France,Male,62,0,11199.04,1
777,France,Female,53,0,189992.97,0
646,France,Male,35,84026.86,164255.69,0
714,France,Male,46,0,152167.79,1
782,France,Male,39,0,33949.67,0
775,Spain,Male,29,0,68143.93,0
479,Germany,Male,35,138718.92,47251.79,1
807,France,Male,42,118274.71,25885.72,0
799,France,Female,22,174185.98,192633.85,0
675,France,Male,40,113208.86,34577.36,0
602,Spain,Male,29,103907.28,161229.84,0
475,France,Female,32,119023.28,100816.29,0
744,Spain,Female,26,166297.89,181694.44,0
588,Spain,Male,34,0,79078.91,0
703,Germany,Male,42,63227,137316.32,0
747,Spain,Female,41,94521.17,194926.86,0
583,France,Male,27,0,51285.49,0
750,Spain,Female,34,112822.26,150401.53,1
681,France,Male,38,0,112491.96,0
773,France,Male,25,135903.33,73656.38,0
714,France,Female,31,125169.26,106636.89,0
687,Spain,Female,44,0,155853.52,1
511,France,Male,58,149117.31,162599.51,0
627,France,Male,33,0,103737.82,0
694,France,Female,31,0,160990.27,0
616,Spain,Female,36,132311.71,15462.84,0
687,France,Male,35,0,10334.05,0
712,France,Female,33,0,190686.16,0
553,France,Male,33,118082.89,94440.45,0
667,France,Male,31,119266.69,28257.63,0
731,France,Male,43,0,170034.95,1
629,Germany,Male,35,156847.29,31824.29,0
614,France,Male,50,137104.47,127166.49,1
438,Germany,Male,31,78398.69,44937.01,0
652,France,Female,80,0,188603.07,0
729,Germany,Male,30,63669.42,145111.37,0
642,France,Male,38,0,171463.83,0
806,Germany,Female,59,135296.33,182822.5,0
744,Spain,Male,36,153804.44,87213.33,0
474,Spain,Male,37,0,57175.32,0
559,France,Male,49,147069.78,120540.83,1
706,Spain,Male,42,0,28714.34,0
628,Spain,Female,22,0,85426.28,0
429,France,Male,24,95741.75,46170.75,0
525,Spain,Female,57,145965.33,64448.36,0
680,France,Female,30,141441.75,16278.97,0
749,France,Male,40,139290.41,182855.42,1
763,France,Female,31,0,50404.72,0
734,France,Male,30,0,107640.25,0
716,France,Male,35,144428.87,134132.65,0
594,France,Male,35,0,103480.69,0
644,France,Female,46,95441.27,108761.05,1
671,Germany,Male,35,144848.74,179012.3,0
664,Germany,Male,26,116244.14,95145.14,0
656,France,Male,50,0,72143.44,0
667,Spain,Female,40,146502.07,19162.89,0
663,Germany,Male,44,117028.6,144680.18,0
584,Germany,Female,30,112013.81,177772.03,1
626,Spain,Female,37,108269.37,5597.94,0
485,France,Male,29,182123.79,116828.51,1
659,Germany,Female,32,150923.74,174652.51,0
649,France,Male,33,0,2010.98,0
805,Spain,Female,39,165272.13,14109.85,1
716,Germany,Female,39,115301.31,43527.4,1
642,Germany,Female,40,129502.49,86099.23,1
659,France,Male,31,118342.26,161574.19,0
545,Spain,Female,47,0,38970.14,0
543,France,Male,22,0,127587.22,0
718,France,Female,25,0,30380.12,0
840,France,Female,43,0,90908.95,0
630,Germany,Female,34,106937.05,138275.01,0
643,Germany,Male,59,170331.37,32171.79,0
654,Germany,Female,32,114510.85,126143.23,0
582,France,Male,39,0,129892.93,0
659,Spain,Male,32,107594.11,102416.84,0
762,Spain,Male,39,81273.13,18719.67,0
568,Spain,Female,32,169399.6,61936.22,0
670,Spain,Male,25,0,78358.94,0
613,France,Female,45,187841.99,147224.27,0
539,France,Male,30,0,160979.66,0
850,Spain,Female,57,126776.3,132298.49,0
522,Spain,Male,34,126436.29,174248.52,1
737,France,Male,41,101960.74,123547.28,0
520,France,Male,58,0,32790.02,0
706,Spain,Male,28,0,181543.67,0
643,Germany,Female,45,150842.93,2319.96,1
648,France,Female,50,102535.57,189543.19,0
443,Germany,Female,29,99027.61,10940.4,0
640,France,Male,68,0,199493.38,0
628,Spain,Female,33,0,188193.25,0
540,Germany,Female,42,87271.41,172572.64,0
460,Germany,Female,35,102742.91,189339.6,0
636,Germany,Male,34,40105.51,53512.16,0
593,France,Female,29,152265.43,34004.44,0
801,Spain,Male,42,141947.67,10598.29,0
640,Germany,Female,75,106307.91,113428.77,0
611,Germany,Male,31,107884.81,183487.98,0
802,Germany,Male,31,125013.72,187658.09,0
717,Germany,Male,35,58469.37,172459.39,0
769,France,Female,39,0,21016,0
745,Germany,Male,45,117231.63,122381.02,1
572,Spain,Male,35,152390.26,128123.66,0
629,Spain,Female,30,34013.63,19570.63,0
687,Spain,Female,39,0,188150.6,1
483,France,Female,50,0,111020.24,0
690,France,Male,36,101583.11,123775.15,0
492,Germany,Female,30,77168.87,146700.22,0
709,Germany,Male,28,124695.72,145251.35,0
705,Germany,Male,44,105934.96,82463.69,0
560,France,Female,66,0,15928.49,0
611,Spain,Male,46,0,45886.33,0
730,Spain,Male,62,0,186489.95,0
709,Spain,Female,45,0,162922.65,0
544,France,Female,21,161525.96,9262.77,0
712,Germany,Female,29,147199.07,84932.4,0
752,Germany,Male,38,183102.29,71557.12,0
648,Spain,Male,46,127209,77405.95,1
556,Spain,Male,38,0,417.41,1
594,Spain,Female,24,97378.54,71405.17,0
645,Germany,Female,37,136925.09,153400.24,0
557,France,Male,33,54503.55,371.05,0
547,Germany,Male,32,155726.85,67789.99,0
701,France,Female,39,0,145894.9,0
616,France,Female,66,135842.41,183840.51,1
605,France,Male,52,63349.75,108887.44,0
593,Germany,Female,38,129499.42,154071.27,0
751,Spain,Male,52,0,179291.85,0
443,Spain,Male,36,70438.01,56937.43,0
685,France,Male,23,0,112239.03,0
718,France,Male,36,0,45909.87,0
538,Spain,Female,49,141434.04,173779.25,1
611,Spain,Female,37,0,125696.26,0
668,Germany,Male,37,152958.29,159585.61,0
537,Germany,Female,41,138306.34,106761.47,0
709,Spain,Male,23,0,129590.18,0
850,France,Male,38,0,80006.65,0
745,Spain,Female,31,124328.84,140451.52,0
693,Germany,Female,41,181461.48,187929.43,1
795,Spain,Male,35,0,167155.36,0
626,Spain,Male,26,0,191420.71,0
487,Germany,Female,61,110368.03,11384.45,1
556,France,Female,39,89588.35,94898.1,0
643,France,Female,46,0,106781.59,0
605,France,Female,28,0,159508.52,0
756,Germany,Female,60,115924.89,93524.19,1
586,France,Female,38,0,87168.46,0
535,Germany,Male,40,111756.5,8128.32,1
678,France,Female,35,0,125518.32,0
596,France,Male,39,0,48963.59,0
648,France,Male,26,162923.85,98368.24,0
492,Germany,Male,39,124576.65,148584.61,0
702,France,Male,45,80793.58,27474.81,0
486,Germany,Female,40,71340.09,76192.21,0
568,Germany,Male,40,99282.63,134600.94,1
619,Germany,Male,57,137946.39,72467.99,1
724,Germany,Male,41,127892.57,199645.45,0
548,Germany,Female,33,101084.36,42749.85,0
545,Germany,Female,37,114754.08,136050.44,1
683,France,Male,33,0,73564.44,0
762,France,Female,51,99286.98,85578.63,0
627,Germany,Female,30,79871.02,129826.89,0
516,France,Male,35,104088.59,119666,0
800,France,Female,38,168190.33,68052.08,0
464,Germany,Female,42,85679.25,164104.74,0
626,France,Female,35,0,80190.36,0
790,France,Female,31,0,84126.75,0
534,France,Female,34,121551.58,70179,0
745,France,Male,46,122220.19,118024.1,0
553,Spain,Male,47,116528.15,145704.19,1
748,France,Female,26,77780.29,183049.41,0
722,France,Male,37,0,120906.83,0
501,France,Male,40,125832.2,100433.83,0
675,France,Female,38,68065.8,138777,1
778,Spain,Female,47,127299.34,124694.99,0
494,Germany,Female,38,174937.64,40084.32,0
850,France,Male,40,0,119232.33,0
592,Spain,Male,31,110071.1,43921.36,0
590,Spain,Female,44,139432.37,62222.81,0
758,France,Female,39,127357.76,56577,0
506,France,Male,36,0,164253.35,0
733,France,Male,33,0,7666.73,0
711,France,Male,38,0,68487.51,0
514,Germany,Male,43,95556.31,199273.98,1
637,Spain,Male,37,0,186062.36,0
468,Germany,Male,29,111681.98,195711.16,0
539,France,Male,39,0,36692.17,0
509,Spain,Female,25,108738.71,106920.57,0
662,France,Female,32,133950.37,48725.68,1
818,Spain,Male,26,0,167036.94,0
608,France,Male,33,89968.69,68777.26,0
850,Spain,Female,32,0,18924.92,0
816,Germany,Female,38,130878.75,71905.77,1
536,France,Male,35,0,64833.28,0
753,France,Male,35,0,184843.77,0
631,Spain,Male,27,134169.62,176730.02,0
703,France,Male,37,149762.08,20629.4,1
774,France,Male,26,93844.69,28415.36,0
785,France,Male,28,0,77231.27,0
571,France,Female,33,0,102750.7,0
621,Germany,Male,46,141078.37,34580.8,1
605,Germany,Female,31,117992.59,183598.77,0
611,France,Female,40,100812.33,147358.27,0
569,France,Male,38,0,108469.2,0
658,France,Male,29,80262.6,20612.82,0
788,Spain,Male,34,156478.62,181196.76,0
525,France,Female,23,0,160249.1,0
798,France,Male,37,0,110783.28,0
486,Germany,Male,37,115217.99,144995.33,0
615,Spain,Male,61,0,150227.85,1
730,France,Female,35,155470.55,53718.28,0
641,France,Male,37,0,75248.3,0
542,France,Male,39,135096.77,14353.43,1
692,France,Male,30,0,130486.57,0
714,Germany,Female,55,180075.22,100127.71,0
591,Spain,Male,29,97541.24,196356.17,0
710,France,Female,41,156067.05,9983.88,0
639,France,Female,38,81550.94,118974.77,0
531,France,Female,47,0,194998.34,1
673,France,Female,38,170061.92,134901.34,1
765,Germany,Male,36,92310.54,72924.56,0
622,France,Female,32,169089.38,101057.95,0
806,France,Male,40,80613.93,142838.64,0
757,Germany,Male,26,121581.56,127059.04,0
570,France,Female,58,0,116503.92,1
555,Spain,Male,32,0,54405.79,0
692,France,Male,54,0,88721.84,0
774,France,Male,60,85891.55,74135.48,1
638,Spain,Male,44,77637.35,111346.22,0
543,Spain,Female,41,0,194902.16,0
584,France,Male,31,0,31474.27,0
691,Germany,Male,30,116927.89,21198.39,0
684,Germany,Female,40,137326.65,186976.6,0
733,France,Male,22,0,117202.19,0
599,Spain,Female,37,0,143739.29,0
524,Germany,Female,31,67238.98,161811.23,0
632,Germany,Female,38,86569.76,98090.91,0
735,Spain,Male,34,0,71095.41,0
734,France,Male,34,133598.4,13107.24,0
605,France,Female,51,136188.78,67110.59,1
793,Spain,Male,38,0,88225.02,0
468,France,Female,56,0,62256.87,1
779,Germany,Male,37,120092.52,135925.72,0
698,France,Male,48,101238.24,177815.87,1
707,France,Male,58,89685.92,126471.13,0
850,France,Female,35,211774.31,188574.12,1
850,France,Male,56,131317.48,119175.45,0
527,Spain,Male,37,93722.73,139093.73,0
696,Germany,Male,32,101160.99,115916.55,0
661,France,Male,48,120320.54,96463.25,0
776,France,Female,31,0,112349.51,0
701,France,Male,43,0,165303.79,0
610,France,Male,26,0,166031.08,0
572,Germany,Female,48,152827.99,38411.79,1
673,France,Male,30,64097.75,77783.35,0
519,Spain,Female,57,119035.35,29871.79,0
702,Spain,Female,26,135219.57,59747.63,0
729,France,Male,32,93694.42,79919.13,0
543,Spain,Male,35,59408.63,76773.53,0
550,France,Female,40,114354.95,54018.93,0
608,France,Male,59,0,70649.64,1
639,Germany,Male,35,128173.9,59093.39,0
686,Spain,Male,34,0,127569.8,0
564,Germany,Female,62,114931.35,18260.98,1
745,Germany,Female,28,111071.36,73275.96,1
833,France,Male,37,151226.18,136129.49,0
622,France,Male,26,0,153237.59,0
597,France,Female,42,64740.12,106841.12,0
721,Spain,Male,51,169312.13,109078.35,1
504,France,Female,49,0,87822.14,1
842,Spain,Female,44,112652.08,126644.98,0
587,France,Male,38,0,47414.15,0
479,Germany,Female,30,143964.36,41879.99,0
508,France,Male,49,122451.46,75808.1,0
749,France,Male,24,0,47911.03,0
721,Germany,Female,36,65253.07,28737.78,0
674,Germany,Male,47,106901.94,2079.2,1
685,Spain,Female,25,128509.63,121562.33,0
417,France,Male,34,0,55003.79,0
574,Germany,Male,33,129834.67,193131.42,0
590,Spain,Female,51,154962.99,191932.27,1
587,Germany,Male,40,138241.9,159418.1,0
598,Germany,Male,41,91536.93,191468.78,1
741,Spain,Male,53,0,38913.68,0
850,Spain,Female,70,0,705.18,0
584,Germany,Female,29,105204.01,138490.03,0
650,Spain,Male,61,152968.73,82970.69,0
607,Spain,Male,36,158261.68,76744.72,0
509,France,Female,46,0,71244.59,1
689,Spain,Female,38,121021.05,12182.15,0
543,France,Male,36,0,141210.5,0
438,Spain,Female,54,0,191763.07,1
687,Spain,Female,63,137715.66,37938.74,0
737,Germany,Male,31,121192.22,74890.58,0
761,France,Male,31,0,166698.18,0
601,France,Male,44,100486.18,62678.53,0
651,France,Male,45,0,67740.08,1
745,France,Male,35,92566.53,161519.77,0
648,Spain,Female,49,0,159835.78,1
848,Spain,Male,40,110929.96,30876.84,0
546,France,Female,27,0,14858.1,0
439,Spain,Female,32,138901.61,75685.97,0
755,France,Male,30,123217.66,144183.1,0
593,France,Female,41,0,65170.66,0
701,France,Male,39,0,82526.92,0
701,Spain,Male,36,0,169161.46,0
607,Spain,Female,33,108431.87,109291.39,1
586,Spain,Female,57,0,6057.81,0
547,Germany,Female,30,72392.41,77077.14,0
647,Germany,Female,51,119741.77,54954.51,1
760,France,Female,51,100946.71,179614.8,1
621,Spain,Male,53,170491.84,35588.07,1
725,France,Male,44,0,117356.14,0
526,France,Male,36,0,160696.72,0
519,Spain,Female,47,157296.02,147278.43,1
713,Germany,Female,38,144606.22,56594.36,1
700,France,Male,38,134811.3,1299.75,0
666,France,Female,34,115897.12,25095.03,0
630,Spain,Male,32,82034,146326.45,0
779,Spain,Female,26,174318.13,38296.21,0
611,Germany,Female,41,114206.84,164061.6,0
685,Spain,Male,43,0,107811.28,0
646,Germany,Male,39,111574.41,30838.51,0
683,Germany,Female,57,162448.69,9221.78,1
484,Germany,Female,34,148249.54,33738.27,0
601,France,Female,43,0,110916.15,1
762,Spain,Female,26,123709.46,169654.57,0
687,France,Female,72,0,69829.4,0
566,France,Male,30,0,54926.51,1
702,France,Male,37,150525.8,94728.49,0
601,France,Male,29,0,80393.27,0
699,France,Male,53,0,111307.98,0
584,France,Male,28,0,19834.32,0
699,France,Male,35,0,78397.24,0
698,Germany,Female,51,111018.98,86410.28,0
495,France,Male,30,129755.99,172749.65,0
650,France,Female,27,0,1002.39,0
605,France,Female,64,129555.7,13601.79,0
667,Spain,Male,38,87202.38,77866.91,0
688,Germany,Male,26,146133.39,175296.76,0
727,Spain,Female,31,0,121751.04,1
754,Spain,Male,39,170184.99,89593.26,0
612,Germany,Female,62,140745.33,193437.89,1
546,Spain,Male,42,139070.51,86945,0
673,Spain,Female,37,0,183318.79,0
593,France,Male,35,114193.24,71154.1,0
656,Spain,Female,40,167878.5,151887.16,0
535,Germany,Female,53,141616.55,75888.65,0
678,Germany,Male,36,145747.67,89566.74,0
477,Spain,Female,48,129120.64,26475.79,0
850,Spain,Male,35,110349.82,126355.8,0
427,France,Male,29,141325.56,93839.3,0
752,France,Male,49,78653.84,7698.6,0
649,France,Male,47,0,145593.85,0
799,Spain,Female,28,142253.65,45042.56,0
589,France,Female,61,0,61108.56,1
583,Germany,Female,54,115988.86,57553.98,1
839,Spain,Female,33,75592.43,62674.42,0
540,Germany,Male,44,164113.04,12120.79,0
850,France,Male,31,67996.23,50129.87,1
696,Spain,Female,51,0,55022.43,0
660,Spain,Female,33,0,117834.91,0
682,France,Male,48,138778.15,168840.23,0
744,France,Female,43,147832.15,24234.11,0
785,France,Female,36,135438.4,190627.01,0
752,Spain,Male,48,116060.08,156618.38,1
706,France,Female,29,112564.62,42334.38,0
583,France,Female,27,125406.58,110784.42,0
660,Germany,Female,39,135134.99,173683,1
819,France,Female,39,133102.92,27046.46,1
673,France,Female,34,42157.08,20598.59,1
752,France,Female,30,0,104991.28,0
578,France,Male,38,82259.29,8996.97,0
438,France,Female,36,0,64420.5,0
652,France,Male,38,0,145700.22,0
629,France,Female,49,0,196335.48,0
720,France,Male,52,0,14781.12,0
668,France,Male,42,150461.07,108139.23,0
459,Germany,Male,48,133994.52,19287.06,1
729,Spain,Male,31,164870.81,9567.39,0
498,Germany,Male,25,121702.73,132210.49,0
549,Spain,Male,25,193858.2,21600.11,0
601,Germany,Female,54,131039.97,199661.5,0
544,France,Male,64,113829.45,124341.49,0
751,France,Female,30,0,15766.1,0
632,Germany,Female,41,81877.38,33642.21,0
694,Spain,Male,57,116326.07,117704.65,0
678,France,Male,31,0,58803.28,0
695,France,Male,46,0,137537.22,0
661,France,Female,41,0,131300.68,0
661,France,Male,33,0,84174.81,0
559,France,Female,31,127070.73,160941.78,0
